Scheckter, 0.30000001192092896
LemonAid, 0.20000000298023224
Gusto Organic, 0.20000000298023224
Waitrose, 0.20000000298023224
Dasani, 0.20000000298023224
Whole Earth., 0.20000000298023224
Lushcombe, 0.20000000298023224
Coca-Cola Company, 0.10000000149011612
Fever-Tree, 0.10000000149011612
ChariTea, 0.10000000149011612
Belvoir, 0.10000000149011612
Karma Cola, 0.10000000149011612
Gerber Foods, -0.10000000149011612
Nestlé, -0.10000000149011612
Tesco, -0.10000000149011612
Stevia, -0.20000000298023224
SodaStream, -0.5
